id,doi,display_name,authorships.author.display_name,publication_year,publication_date,type,primary_location.source.display_name,primary_location.source.issn_l,cited_by_count,language,ids.pmid
https://openalex.org/W4323293924,https://doi.org/10.1056/nejmoa2213558,Phase 3 Trial of Sotatercept for Treatment of Pulmonary Arterial Hypertension,Marius M. Hoeper|David B. Badesch|H. Ardeschir Ghofrani|J. Simon R. Gibbs|Mardi Gomberg-Maitland|Vallerie V. McLaughlin|Ioana R. Preston|Rogerio Souza|Aaron B. Waxman|Ekkehard Grünig|Grzegorz Kopeć|Gisela Meyer|Karen M. Olsson|Stephan Rosenkranz|Yayun Xu|Barry Miller|Marcie Fowler|John Butler|Joerg Koglin|Janethe de Oliveira Pena|Marc Humbert,2023,2023-03-06,article,New England Journal of Medicine,0028-4793,618,en,https://pubmed.ncbi.nlm.nih.gov/36877098
https://openalex.org/W4393948681,https://doi.org/10.1161/circheartfailure.123.011227,SPECTRA Phase 2b Study: Impact of Sotatercept on Exercise Tolerance and Right Ventricular Function in Pulmonary Arterial Hypertension,Aaron B. Waxman|David M. Systrom|Solaiappan Manimaran|Janethe de Oliveira Pena|Jonathan Lu|Franz P. Rischard,2024,2024-04-04,article,Circulation Heart Failure,1941-3289,50,en,https://pubmed.ncbi.nlm.nih.gov/38572639
https://openalex.org/W4389097187,https://doi.org/10.1002/cpt.3116,"The Impact of Immunogenicity on the Pharmacokinetics, Efficacy, and Safety of Sotatercept in a Phase III Study of Pulmonary Arterial Hypertension",Karen Liao|Harald Mackenzie|Sihem Ait‐Oudhia|Solaiappan Manimaran|Yiyuan Zeng|Tad Akers|Tatyana Yun|Janethe de Oliveira Pena,2023,2023-11-28,article,Clinical Pharmacology & Therapeutics,0009-9236,13,en,https://pubmed.ncbi.nlm.nih.gov/38012534
https://openalex.org/W4405045378,https://doi.org/10.1016/j.healun.2024.11.037,Efficacy and safety of sotatercept across ranges of cardiac index in patients with pulmonary arterial hypertension: A pooled analysis of PULSAR and STELLAR,Mardi Gomberg-Maitland|David B. Badesch|J. Simon R. Gibbs|Ekkehard Grünig|Marius M. Hoeper|Marc Humbert|Grzegorz Kopeć|Vallerie V. McLaughlin|Gisela Meyer|Karen M. Olsson|Ioana R. Preston|Stephan Rosenkranz|Rogerio Souza|Aaron B. Waxman|Loïc Perchenet|James Strait|Aiwen Xing|Amy O. Johnson-Levonas|Alexandra G. Cornell|Janethe de Oliveira Pena|H. Ardeschir Ghofrani,2024,2024-12-05,article,The Journal of Heart and Lung Transplantation,1053-2498,11,en,https://pubmed.ncbi.nlm.nih.gov/39645016
https://openalex.org/W4293576556,https://doi.org/10.1183/13993003.01347-2022,Sotatercept for the treatment of pulmonary arterial hypertension: PULSAR open-label extension,Marc Humbert|Vallerie McLaughlin|J. Simon R. Gibbs|Mardi Gomberg-Maitland|Marius M. Hoeper|Ioana R. Preston|Rogerio Souza|Aaron B. Waxman|Hossein-Ardeschir Ghofrani|Pilar Escribano Subias|Jeremy Feldman|Gisela Meyer|David Montani|Karen M. Olsson|Solaiappan Manimaran|Janethe de Oliveira Pena|David B. Badesch,2022,2022-08-30,article,European Respiratory Journal,0903-1936,141,en,https://pubmed.ncbi.nlm.nih.gov/36041750
https://openalex.org/W4403828292,https://doi.org/10.3390/jcm13216463,Perspectives on Sotatercept in Pulmonary Arterial Hypertension,Rosalinda Madonna|Filippo Biondi,2024,2024-10-28,article,,2077-0383,9,en,https://pubmed.ncbi.nlm.nih.gov/39518603
https://openalex.org/W4387729695,https://doi.org/10.1007/s12325-023-02684-x,Population Health Model Predicting the Long-Term Impact of Sotatercept on Morbidity and Mortality in Patients with Pulmonary Arterial Hypertension (PAH),Vallerie McLaughlin|Adnan Alsumali|Rongzhe Liu|Rogier Klok|Eliana C. Martinez|Iman Nourhussein|David Bernotas|Jestinah Chevure|Christine Pausch|Janethe De Oliveira Pena|Dominik Lautsch|Marius M. Hoeper,,2023-10-18,article,Advances in Therapy,0741-238X,23,en,https://pubmed.ncbi.nlm.nih.gov/37851297
https://openalex.org/W4390673603,https://doi.org/10.7759/cureus.51867,Treating Pulmonary Arterial Hypertension With Sotatercept: A Meta-Analysis,Naseer Uddin|Muhammad Talal Ashraf|Stafford Jude Sam|Affan Sohail|Syed Muhammad Ismail|Antonella Paladini|Abdul Ahad Syed|Tamam Mohamad|Giustino Varrassi|Satish Kumar|Mahima Khatri,2024,2024-01-08,article,Cureus,2168-8184,5,en,https://pubmed.ncbi.nlm.nih.gov/38327917
https://openalex.org/W4399192509,https://doi.org/10.1002/psp4.13166,Population pharmacokinetic modeling of sotatercept in healthy participants and patients with pulmonary arterial hypertension,Sihem Ait‐Oudhia|David Jaworowicz|Ziheng Hu|Sébastien Bihorel|Shuai Hu|Budda Balasubrahmanyam|Bipin Mistry|Janethe de Oliveira Pena|Larissa Wenning|Ferdous Gheyas,2024,2024-05-29,article,CPT Pharmacometrics & Systems Pharmacology,2163-8306,3,en,https://pubmed.ncbi.nlm.nih.gov/38812074
https://openalex.org/W4386602680,https://doi.org/10.1183/13993003.01107-2023,Effects of sotatercept on haemodynamics and right heart function: analysis of the STELLAR trial,Rogerio Souza|David B. Badesch|H. Ardeschir Ghofrani|J. Simon R. Gibbs|Mardi Gomberg-Maitland|Vallerie V. McLaughlin|Ioana R. Preston|Aaron B. Waxman|Ekkehard Grünig|Grzegorz Kopeć|Gisela Meyer|Karen M. Olsson|Stephan Rosenkranz|Jianxin Lin|Amy O. Johnson-Levonas|Janethe de Oliveira Pena|Marc Humbert|Marius M. Hoeper,2023,2023-09-01,article,European Respiratory Journal,0903-1936,91,en,https://pubmed.ncbi.nlm.nih.gov/37696565
